source_id,source_name,relation,target_id,target_name,note,relation_type
30,sen's fortress,challenged by,765,fortress knight,Mentioned as having attempted to overcome the fortress alone.,location-character
30,sen's fortress,described by,766,kingseeker frampt,Frampt describes it as a house of deadly traps to reach the Realm of Lords.,location-character
31,anor londo,defended by,812,silver knights,Silver Knights protect the halls and paths of Anor Londo.,location-character
31,anor londo,defended by,834,painting guardians,Painting Guardians patrol the rafters of the cathedral.,location-character
31,anor londo,home to,851,giant blacksmith,The Giant Blacksmith crafts weapons imbued with lightning.,location-character
31,anor londo,home to,964,gwyndolin,Gwyndolin guards the illusion of the city and defends the Darkmoon tomb.,location-character
31,anor londo,associated with,66,ornstein,Ornstein is one of the primary defenders of the cathedral.,location-character
31,anor londo,associated with,54,smough,Smough fights alongside Ornstein to defend the inner sanctum.,location-character
31,anor londo,sought by,39,solaire of astora,Solaire travels to Anor Londo in pursuit of his own 'sun'.,location-character
34,the duke's archives,domain of,68,seath the scaleless,The archives are Seath's territory and his research domain.,location-character
34,the duke's archives,contains,969,primordial crystal,The source of Seath’s immortality is located here.,location-object
36,painted world of ariamis,inhabited by,55,priscilla,Priscilla resides in isolation within the painted realm.,location-character
36,painted world of ariamis,contains,173,lifehunt scythe,The scythe wielded by Priscilla is found here.,location-object
37,firelink altar,uses,750,lordvessel,The Lordvessel is placed here to access the Kiln of the First Flame.,location-object
39,solaire of astora,wields,227,sunlight shield,"Solaire carries this shield, decorated with a self-painted sun symbol.",character-item
39,solaire of astora,mentions,31,anor londo,Solaire references this city during his quest for the sun.,character-location
39,solaire of astora,mentions,28,tomb of the giants,Solaire speaks of this dark area in dialogue.,character-location
39,solaire of astora,mentions,14,lost izalith,Solaire references this location in connection with his search.,character-location
39,solaire of astora,mentions,71,gwyn,Solaire reveres Gwyn as part of his sun-worshipping beliefs.,character-character
40,dusk of oolacile,origin,869,oolacile,Dusk is a princess and royal figure from Oolacile.,origin
40,dusk of oolacile,rescued_by,1298,player,Dusk is rescued from a golden golem and later offers sorceries.,interaction
40,dusk of oolacile,associated_with,764,elizabeth,Elizabeth references Dusk as a key figure from Oolacile.,dialogue_reference
41,black iron tarkus,member_of,832,knights berenike,Tarkus is recognized as one of the Knights Berenike.,faction
41,black iron tarkus,failed_to_reach,31,anor londo,Mentioned among those who failed to reach Anor Londo.,failure_record
42,witch beatrice,braved,5,the abyss,Beatrice is known for facing the Abyss without formal training.,feat
44,paladin leeroy,member_of,849,way of white,Leeroy is affiliated with the Way of White.,faction
44,paladin leeroy,wields,147,grant,Leeroy wields the powerful Grant weapon.,equipment
45,knight kirk,member_of,810,darkwraiths,Kirk is a known Darkwraith.,faction
46,xanthous king jeremiah,associated_with,36,painted world of ariamis,Jeremiah is found in the Painted World of Ariamis.,location
47,lautrec the embraced,devoted_to,915,fina,Lautrec worships the goddess Fina.,worship
47,lautrec the embraced,knows_of,968,maiden thorolund,Lautrec references Maiden Thorolund and trades information.,dialogue_reference
48,demon firesage,origin of,1034,fire arts,The Demon Firesage is described as the last master of original fire arts and the first demon.,origin
51,capra demon,served by,1342,undead burg dogs,The Capra Demon is noted for being served by wild dogs in the Undead Burg.,servant_of
53,iron golem,guardian of,30,sen's fortress,"The Iron Golem guards Sen's Fortress, testing heroes before they may reach Anor Londo.",guardian
54,executioner smough,guards,1023,anor londo cathedral,Executioner Smough is described as one of the defenders of the cathedral in Anor Londo.,guardian
55,crossbreed priscilla,resides in,36,painted world of ariamis,Priscilla is trapped and resides within the Painted World of Ariamis.,location
56,moonlight butterfly,created by,68,seath the scaleless,Moonlight Butterfly is described as a creature created by Seath the Scaleless.,creation
56,moonlight butterfly,inhabits,18,darkroot garden,Moonlight Butterfly flutters in Darkroot Garden.,location
57,sanctuary guardian,dreaded,5,the abyss,The Sanctuary Guardian feared the Abyss and had traits similar to demons.,emotional
58,artorias the abysswalker,member of,1289,four knights of gwyn,Artorias is explicitly described as one of Gwyn’s Four Knights.,membership
58,artorias the abysswalker,fought,5,the abyss,Artorias fought against the Abyss and is closely associated with it.,conflict
58,artorias the abysswalker,friend of,759,ciaran,"Ciaran refers to Artorias as 'dear', suggesting a close personal bond.",personal
58,artorias the abysswalker,rescued,40,dusk of oolacile,Artorias saved Dusk from the Abyss long ago.,rescue
58,artorias the abysswalker,linked to,240,greatshield of artorias,Artorias is associated with the Greatshield bearing his name (Item ID 1165).,equipment
58,artorias the abysswalker,linked to,540,wolf ring,"Artorias is associated with the Wolf Ring, symbolic of his indomitable will.",equipment
58,artorias the abysswalker,buried in,18,darkroot garden,Artorias's grave lies in Darkroot Garden.,location
58,artorias the abysswalker,grave guarded by,62,sif,Artorias's grave is guarded by the great wolf Sif.,guardianship
58,artorias the abysswalker,honor preserved by,1298,player,His honor was preserved by the player after his corruption.,narrative
58,artorias the abysswalker,friend of,792,alvina,Mentioned as a friend of Alvina in the Cat Covenant Ring description.,personal
59,"manus, father of the abyss",source_of,5,abyss,Manus is considered the origin of the Abyss corruption.,origin
59,"manus, father of the abyss",transformed_from,1210,human,"Manus was once human, transformed by wild humanity.",transformation
59,"manus, father of the abyss",uses,572,pursuers,His sorcery Pursuers grants will to the Dark.,magic
60,black dragon kalameet,drops,270,obsidian greatsword,Tail source of the Obsidian Greatsword.,item_drop
60,black dragon kalameet,enchants,544,calamity ring,Kalameet's eye enchanted the Calamity Ring.,magic
60,black dragon kalameet,feared_by,31,anor londo,Feared even by the city of Anor Londo.,threat
62,great grey wolf sif,guards,931,grave of artorias,Sif is guardian of Knight Artorias’s grave.,guardianship
62,great grey wolf sif,companion_of,58,artorias the abysswalker,Sif was Artorias’s loyal companion.,personal
62,great grey wolf sif,protects_with,264,cleansing greatshield,Protected by Artorias’s Cleansing Greatshield.,equipment
62,great grey wolf sif,soul_used_for,240,greatshield of artorias,Sif’s soul is used to craft the Greatshield of Artorias.,item_creation
63,gravelord nito,resides_in,28,tomb of the giants,Nito slumbers in the Tomb of the Giants.,location
63,gravelord nito,commands,835,servants,Nito commands servants who spread death rituals.,follower
63,gravelord nito,holds,747,lord soul,Nito holds one of the four Lord Souls needed to fill the Lordvessel.,power
63,gravelord nito,opposed_by,882,occult followers,Target of occult followers who attempt to steal divine power.,opposition
65,gaping dragon,descendant_of,929,ancient dragons,Gaping Dragon is a grotesque descendant of ancient dragons.,lineage
65,gaping dragon,swallowed,730,blighttown key,Swallowed the Blighttown Key.,possession
66,dragonslayer ornstein,member_of,1289,four knights of gwyn,Ornstein is one of Lord Gwyn’s Four Knights.,allegiance
66,dragonslayer ornstein,guards,1023,anor londo cathedral,Guardian of the cathedral in Anor Londo.,guardianship
66,dragonslayer ornstein,wields,606,lightning spear,Master of lightning spear combat.,combat
66,dragonslayer ornstein,wears,1302,lion armor,Clad in lightning-infused lion-themed armor.,equipment
66,dragonslayer ornstein,associated_with,538,leo ring,Associated with the Leo Ring.,equipment
67,chaos witch quelaag,sister_of,955,fair lady,She is the sister of the Fair Lady and fled Izalith with her.,family
67,chaos witch quelaag,infused_with,681,humanity,Her weapon responds to humanity.,magic
67,chaos witch quelaag,referenced_by,763,eingyi,Referenced by Eingyi with reverence and authority.,narrative
68,seath the scaleless,created,56,moonlight butterfly,Seath is creator of the Moonlight Butterfly.,creation
68,seath the scaleless,created,702,crystal ember,Creator of the Crystal Ember.,creation
68,seath the scaleless,holds,1308,lord soul fragment,Granted title and soul fragment by Lord Gwyn for betraying dragons.,reward
68,seath the scaleless,used,969,primordial crystal,Used the Primordial Crystal for immortality.,power
68,seath the scaleless,confidant_of,71,gwyn,Was a confidant and ally of Lord Gwyn.,allegiance
69,dark sun gwyndolin,child_of,71,"gwyn, lord of cinder",Youngest child of Gwyn,lore
69,dark sun gwyndolin,leads,999,darkmoon covenant,Leads the Blades of the Darkmoon,covenant
69,dark sun gwyndolin,protects,31,anor londo,Protector of Anor Londo,location
69,dark sun gwyndolin,created,179,darkmoon bow,Creator of the Darkmoon Bow and Tin Darkmoon Catalyst,artifact
69,dark sun gwyndolin,created,188,tin darkmoon catalyst,Creator of the Darkmoon Bow and Tin Darkmoon Catalyst,artifact
71,"gwyn, lord of cinder",father_of,69,dark sun gwyndolin,Father of Gwyndolin,lore
71,"gwyn, lord of cinder",father_of,770,gwynevere,Father of Gwynevere,lore
71,"gwyn, lord of cinder",father_of,916,gwyn's firstborn,,lore
71,"gwyn, lord of cinder",granted_power_to,72,four kings,Granted fragments of a Lord Soul,power
71,"gwyn, lord of cinder",linked,921,first flame,Linked the First Flame,event
71,"gwyn, lord of cinder",used,840,lightning,Used lightning to defeat dragons,combat
72,four kings,ruled,4,new londo,Rulers of New Londo,location
72,four kings,created,810,darkwraiths,Creators of the Darkwraiths,covenant
72,four kings,fell_to,816,dark,Fell to the Dark,event
72,four kings,holds,1308,lord soul fragment,Great leaders of New Londo who were granted fragments of a Lord Soul by Gwyn.,reward
73,bed of chaos,source_of,1227,demons,Source of all demons,origin
73,bed of chaos,embodies,1006,chaos and fire,Distorted being of chaos and fire,nature
75,dagger,effective_for,1024,parrying,Standard small dagger with modest attack. Effective for rapid strikes and critical hits such as parrying and backstabs. Offers both slash and thrust attacks.,conceptual
75,dagger,effective_for,1085,backstab,Standard small dagger with modest attack. Effective for rapid strikes and critical hits such as parrying and backstabs. Offers both slash and thrust attacks.,conceptual
76,parrying dagger,effective_for,1024,parrying,"Dagger specialized for parrying, typically used in the left hand. Favored by Carim knights who fight without shields.",conceptual
76,parrying dagger,favored_by,795,carim knights,"Dagger specialized for parrying, typically used in the left hand. Favored by Carim knights who fight without shields.",social
77,ghost blade,wielded_by,797,ghosts of new londo,Wielded by the ghosts of New Londo. Cursed weapon capable of harming ghosts.,factual
77,ghost blade,effective_against,830,ghosts,Wielded by the ghosts of New Londo. Cursed weapon capable of harming ghosts.,mechanical
78,bandit's knife,effective_for,1024,parrying,Shortsword favored by thieves and bandits. Excels in slicing and critical hits after parrying or backstabbing.,conceptual
78,bandit's knife,effective_for,1085,backstab,Shortsword favored by thieves and bandits. Excels in slicing and critical hits after parrying or backstabbing.,conceptual
78,bandit's knife,favored_by,799,thieves,Shortsword favored by thieves and bandits. Excels in slicing and critical hits after parrying or backstabbing.,social
79,priscilla's dagger,originates_from,55,priscilla,Rare dragon weapon from Priscilla's tail. Possesses lifehunt power and resembles the fighting style of painting guardians.,factual
79,priscilla's dagger,resembles_style_of,834,painting guardians,Rare dragon weapon from Priscilla's tail. Possesses lifehunt power and resembles the fighting style of painting guardians.,stylistic
84,balder side sword,used_by,1046,balder knights,"Long sword of Balder knights, good for thrust attacks. Balder was destroyed by the Undead.",factual
85,crystal straight sword,has_trait,1164,crystallized,High attack power but fragile; cannot be repaired.,attribute
85,crystal straight sword,has_limitation,1282,cannot be repaired,"Once broken, cannot be restored.",mechanic
86,sunlight straight sword,belongs_to,39,solaire of astora,"Signature weapon of Solaire, a knight seeking his own sun.",ownership
86,sunlight straight sword,has_trait,1150,dependable,"Well-forged, reliable though modest.",attribute
87,barbed straight sword,belongs_to,876,darkwraith kirk,"Personal weapon of Kirk, a Darkwraith invader.",ownership
87,barbed straight sword,causes_effect,814,bleeding,Its barbs inflict severe bleeding on targets.,combat_effect
88,silv. knight str. sword,used_by,812,silver knights,Weapon of the silver knights in service of Anor Londo.,affiliation
88,silv. knight str. sword,associated_with,31,anor londo,Used by the city's elite defenders.,location
89,astora's straight sword,belongs_to,1132,knight of astora,Blessed weapon carried by a high-ranking knight.,ownership
89,astora's straight sword,has_trait,815,blessed,Infused with divine properties.,attribute
90,darksword,used_by,810,darkwraiths,Wielded by those who served the Four Kings.,affiliation
90,darksword,serves,72,four kings,Darkwraiths wield this weapon in service to the abyssal rulers.,narrative_reference
91,drake sword,originates_from,1144,drake's tail,Formed by severing a drake's tail.,origin
91,drake sword,has_trait,1288,mystical power,Activated when held with both hands.,attribute
92,straight sword hilt,found_in,809,undead asylum,Discarded remnant from the starting area.,location
92,straight sword hilt,has_trait,1259,weak,"Inferior weapon, usually replaced quickly.",attribute
93,bastard sword,weapon_type,105,greatsword,Heavy blade with wide swings for crowd control.,category
94,claymore,weapon_type,105,greatsword,Versatile for both swing and thrust attacks.,category
95,man-serpent greatsword,used_by,820,serpent men,Used by enemies in Sen's Fortress.,affiliation
95,man-serpent greatsword,associated_with,30,sen's fortress,Wielded by fortress guards mutated into serpents.,location
96,flamberge,used_by,820,serpent men,Serpent-style blade that causes bleeding.,affiliation
96,flamberge,causes_effect,814,bleeding,Its design flays and inflicts lasting wounds.,combat_effect
97,crystal greatsword,has_trait,1164,crystallized,Extremely powerful but cannot be repaired.,attribute
97,crystal greatsword,has_limitation,1282,cannot be repaired,Fragility makes it unsustainable long term.,mechanic
98,stone greatsword,used_by,813,stone knights,Wielded by enchanted warriors in Darkroot Garden.,affiliation
98,stone greatsword,associated_with,18,darkroot garden,Found in the enchanted forest area.,location
103,greatsword of artorias,forged_from,689,soul of sif,Crafted using the soul of the great wolf companion.,origin
103,greatsword of artorias,used_by,58,artorias the abysswalker,Legendary knight who fought the Abyss.,ownership
103,greatsword of artorias,effective_against,1116,dark enemies,Designed for facing Abyssal creatures.,combat_effect
103,greatsword of artorias,associated_with,982,artorias's covenant,Symbolic weapon tied to his Abyssal oath.,narrative_reference
85,crystal straight sword,has_trait,1164,crystallized,High attack power but fragile; cannot be repaired.,attribute
85,crystal straight sword,has_limitation,1282,cannot be repaired,"Once broken, cannot be restored.",mechanic
86,sunlight straight sword,belongs_to,39,solaire of astora,"Signature weapon of Solaire, a knight seeking his own sun.",ownership
86,sunlight straight sword,has_trait,1150,dependable,"Well-forged, reliable though modest.",attribute
87,barbed straight sword,belongs_to,876,darkwraith kirk,"Personal weapon of Kirk, a Darkwraith invader.",ownership
87,barbed straight sword,causes_effect,814,bleeding,Its barbs inflict severe bleeding on targets.,combat_effect
88,silv. knight str. sword,used_by,812,silver knights,Weapon of the silver knights in service of Anor Londo.,affiliation
88,silv. knight str. sword,associated_with,31,anor londo,Used by the city's elite defenders.,location
89,astora's straight sword,belongs_to,1132,knight of astora,Blessed weapon carried by a high-ranking knight.,ownership
89,astora's straight sword,has_trait,815,blessed,Infused with divine properties.,attribute
90,darksword,used_by,810,darkwraiths,Wielded by those who served the Four Kings.,affiliation
90,darksword,serves,72,four kings,Darkwraiths wield this weapon in service to the abyssal rulers.,narrative_reference
91,drake sword,originates_from,1144,drake's tail,Formed by severing a drake's tail.,origin
91,drake sword,has_trait,1288,mystical power,Activated when held with both hands.,attribute
92,straight sword hilt,found_in,809,undead asylum,Discarded remnant from the starting area.,location
92,straight sword hilt,has_trait,1259,weak,"Inferior weapon, usually replaced quickly.",attribute
93,bastard sword,weapon_type,105,greatsword,Heavy blade with wide swings for crowd control.,category
94,claymore,weapon_type,105,greatsword,Versatile for both swing and thrust attacks.,category
95,man-serpent greatsword,used_by,820,serpent men,Used by enemies in Sen's Fortress.,affiliation
95,man-serpent greatsword,associated_with,30,sen's fortress,Wielded by fortress guards mutated into serpents.,location
96,flamberge,used_by,820,serpent men,Serpent-style blade that causes bleeding.,affiliation
96,flamberge,causes_effect,814,bleeding,Its design flays and inflicts lasting wounds.,combat_effect
97,crystal greatsword,has_trait,1164,crystallized,Extremely powerful but cannot be repaired.,attribute
97,crystal greatsword,has_limitation,1282,cannot be repaired,Fragility makes it unsustainable long term.,mechanic
98,stone greatsword,used_by,813,stone knights,Wielded by enchanted warriors in Darkroot Garden.,affiliation
98,stone greatsword,associated_with,18,darkroot garden,Found in the enchanted forest area.,location
103,greatsword of artorias,forged_from,689,soul of sif,Crafted using the soul of the great wolf companion.,origin
103,greatsword of artorias,used_by,58,artorias the abysswalker,Legendary knight who fought the Abyss.,ownership
103,greatsword of artorias,effective_against,1116,dark enemies,Designed for facing Abyssal creatures.,combat_effect
103,greatsword of artorias,associated_with,982,artorias's covenant,Symbolic weapon tied to his Abyssal oath.,narrative_reference
100,great lord greatsword,forged_from,690,soul of gwyn,"Born from the soul of Gwyn, Lord of Cinder.",origin
100,great lord greatsword,used_by,71,gwyn,Wielded sun bolts before linking the fire.,ownership
100,great lord greatsword,related_to,1346,children of gwyn,His power was divided among his children.,narrative_reference
101,moonlight greatsword,originates_from,68,seath the scaleless,Formed from the tail of the albino dragon Seath.,origin
101,moonlight greatsword,imbued_with,1416,moonlight magic,Unleashes waves of moonlight energy.,attribute
102,black knight sword,used_by,833,black knights,Wielded to battle the chaos demons.,affiliation
102,black knight sword,effective_against,829,chaos demons,Designed for fighting the spawn of chaos.,combat_effect
103,greatsword of artorias,forged_from,689,soul of sif,Cursed version forged using the soul of Sif.,origin
103,greatsword of artorias,effective_against,830,ghosts,Cursed nature allows it to hit spiritual enemies.,combat_effect
103,greatsword of artorias,associated_with,982,artorias's covenant,Tied to the knight’s pact with the Abyss.,narrative_reference
104,zweihander,weapon_type,105,greatsword,Colossal sword used for strong two-handed strikes.,category
105,greatsword,favored_by,832,knight berenike,Preferred by strong knights known for brute force.,ownership
105,greatsword,favored_by,41,tarkus,Preferred by strong knights known for brute force.,ownership
106,demon great machete,used_by,831,capra demons,Heavy weapon forged from brutal cast iron.,affiliation
107,dragon greatsword,originates_from,1174,stone dragon's tail,Carved from the tail of a mythical dragon.,origin
107,dragon greatsword,has_trait,1288,mystical power,Unleashes power when wielded with both hands.,attribute
108,black knight greatsword,used_by,833,black knights,"Wielded against chaos demons, similar to Black Knight Sword.",affiliation
108,black knight greatsword,effective_against,829,chaos demons,Heavy swings suited to banish chaos foes.,combat_effect
109,scimitar,has_trait,1080,fluid attacks,Small curved blade with chaining capability.,attribute
109,scimitar,effective_against,1432,unarmored foes,Excels against lightly armored enemies.,combat_effect
110,falchion,similar_to,109,scimitar,Focuses on slashing with similar curved design.,attribute
111,shotel,forged_by,822,arstor of carim,Crafted by a weapon-maker from Carim.,origin
111,shotel,bypasses,1388,shield defenses,Curved design allows it to hit around shields.,mechanic
112,jagged ghost blade,used_by,797,new londo ghosts,Spiritual weapon wielded by ghost enemies.,affiliation
112,jagged ghost blade,effective_against,830,ghosts,Cursed nature makes it usable in spectral combat.,combat_effect
113,painting guardian sword,used_by,834,painting guardians,Elegant weapon used in Anor Londo’s painting world.,affiliation
113,painting guardian sword,associated_with,31,anor londo,Linked to defenders of the painted world.,location
114,quelaag's furysword,forged_from,688,soul of quelaag,Chaos weapon made from the soul of the spider demon.,origin
114,quelaag's furysword,scales_with,681,humanity,Fire damage increases with humanity level.,mechanic
114,quelaag's furysword,causes_effect,1379,fire damage,Ignites targets with every slash.,combat_effect
115,server,restores_effect,1009,hp per hit,Ancient blade that restores vitality with each strike.,mechanic
115,server,contains,1213,occult energy,Infused with dark rites of the past.,narrative_reference
116,murakumo,requires,1353,strength and dexterity,Demands both physical and agile prowess.,mechanic
116,murakumo,weapon_origin,836,eastern lands,"Eastern curved blade, heavier than a katana.",origin
117,gravelord sword,used_by,835,servants,Weapon of Nito's followers made from bones.,affiliation
117,gravelord sword,causes_effect,1245,death miasma,Spreads necrotic energy that decays enemies.,combat_effect
118,uchigatana,weapon_origin,836,eastern lands,Traditional katana known for quick bleeding cuts.,origin
118,uchigatana,causes_effect,814,bleeding,Sharp edge causes rapid blood loss.,combat_effect
118,uchigatana,has_limitation,1112,fragile,Prone to breaking under prolonged use.,mechanic
119,washing pole,weapon_origin,836,eastern lands,Unusually long katana of the East.,origin
119,washing pole,has_trait,1209,high reach,Exceptional range for a melee weapon.,attribute
119,washing pole,has_limitation,990,prone to breaking,Its extreme length compromises durability.,mechanic
120,iaito,uses_style,1000,iaijutsu,Employs traditional Iaijutsu technique for sheathed draw attacks.,mechanic
121,chaos blade,forged_from,688,soul of quelaag,Created using the soul of the chaos witch Quelaag.,origin
121,chaos blade,causes_effect,1078,self and enemy damage,Inflicts damage to both the wielder and enemies.,combat_effect
122,mail breaker,weapon_type,1114,thrusting sword,Designed to pierce through armor and deliver critical hits.,category
122,mail breaker,effective_against,1065,armored foes,Useful against enemies in heavy armor.,combat_effect
123,rapier,weapon_type,1114,thrusting sword,Allows both parries and precise piercing strikes.,category
124,estoc,weapon_type,1114,thrusting sword,"Longest of its kind, capable of piercing and slashing.",category
124,estoc,effective_against,1065,armored foes,Powerful thrusts can penetrate tough defenses.,combat_effect
125,velka's rapier,used_by,1372,velka's pardoner,Enchanted sword symbolically wielded by the pardoner.,affiliation
125,velka's rapier,has_trait,1441,enchanted,Requires finesse and advanced technique.,attribute
126,ricard's rapier,belongs_to,1058,undead prince ricard,Weapon of a royal who disappeared in the North.,ownership
127,hand axe,weapon_type,1040,axe,Standard axe effective in close combat.,category
128,battle axe,weapon_type,1040,axe,Well-rounded axe with powerful strikes.,category
129,crescent axe,used_by,1369,clerics of the way of white,Blessed axe for divine warriors.,affiliation
129,crescent axe,has_trait,815,blessed,Imbued with sacred energy.,attribute
130,butcher knife,used_by,1171,cannibal of the depths,A tool-weapon hybrid instilling fear.,affiliation
131,golem axe,forged_from,691,soul of iron golem,Created from the soul of a mechanical giant.,origin
131,golem axe,imitates,1439,wind blade,Simulates wind-slicing effects with heavy blows.,attribute
132,gargoyle tail axe,originates_from,70,bell gargoyles,Formed from the tails of Anor Londo's sentries.,origin
132,gargoyle tail axe,associated_with,879,bell of awakening,Guarded sacred bell on cathedral rooftop.,location
133,greataxe,weapon_type,1040,axe,Massive iron axe needing great strength.,category
134,demon's greataxe,used_by,847,taurus demons,Implements brute strength in combat.,affiliation
135,dragon king greataxe,originates_from,1193,gaping dragon's tail,Carved from the appendage of the ancient beast.,origin
135,dragon king greataxe,has_trait,1288,mystical power,Unleashes ancient dragon force.,attribute
136,black knight greataxe,used_by,833,black knights,Axe designed for battle against chaos.,affiliation
136,black knight greataxe,effective_against,829,chaos demons,Used to fight beings born from the Flame of Chaos.,combat_effect
137,club,has_trait,998,effective against shields,Basic strike weapon that excels at breaking guards.,combat_effect
138,mace,used_by,850,clerics,Blunt weapon ideal for crushing defenses.,affiliation
138,mace,has_trait,1444,simple and blunt,"No flair, just impact.",attribute
139,morning star,used_by,1343,barbaric clerics,Heavy spiked hammer used by clerical warriors.,affiliation
139,morning star,causes_effect,814,bleeding,Deals damage through thrusting spike attacks.,combat_effect
140,warpick,weapon_type,141,pickaxe,"Deals thrust damage, designed to pierce armor.",category
140,warpick,effective_against,1065,armored foes,Thrust damage makes it useful against metal armor.,combat_effect
141,pickaxe,originates_from,1303,mining tool,Repurposed tool capable of smashing stone and enemies.,origin
142,reinforced club,has_trait,1364,nailed leather,"Enhanced with nails, increasing power and instability.",attribute
143,blacksmith hammer,used_by,794,andre of astora,Smithing hammer that can be used in battle.,affiliation
144,blacksmith giant hammer,used_by,851,giant blacksmith,Oversized wooden hammer used in Anor Londo.,affiliation
144,blacksmith giant hammer,associated_with,31,anor londo,Crafted and used within the city’s forge.,location
145,hammer of vamos,used_by,790,vamos,Weapon of the skeletal blacksmith deep underground.,affiliation
146,great club,weapon_type,1211,tree branch,Primitive club with high smash force.,category
147,grant,used_by,44,paladin leeroy,Holy hammer used by the Way of White paladin.,affiliation
147,grant,has_trait,815,blessed,Deals extra damage to Dark-aligned foes.,attribute
147,grant,effective_against,816,dark,Strong against creatures of darkness.,combat_effect
148,demon's great hammer,used_by,50,asylum demon,Massive blunt weapon wielded by early boss.,affiliation
149,dragon tooth,used_by,852,havel the rock,Indestructible weapon passed down to Havel.,ownership
